trial,seed,operator_a,operator_b,kendall_tau,jaccard_top_k
306,348,min,geometric@0.10,0.08978777435153272,0.3422818791946309
306,348,geometric@0.90,geometric@0.50,0.13256704980842912,0.3793103448275862
306,348,min,geometric@0.50,0.5831955922865013,0.6528925619834711
306,348,min,geometric@0.90,0.10319917440660475,0.30718954248366015
307,349,linear@0.50,linear@0.10,0.07335359675785207,0.41843971631205673
307,349,linear@0.90,linear@0.10,-0.2950819672131148,0.08695652173913043
307,349,geometric@0.10,linear@0.10,0.7847259658580414,0.8867924528301887
307,349,geometric@0.50,linear@0.10,0.05944055944055943,0.3888888888888889
307,349,geometric@0.90,linear@0.10,-0.2590525546475317,0.14942528735632185
307,349,min,linear@0.10,-0.010640971931294513,0.2903225806451613
307,349,linear@0.90,linear@0.50,-0.04125593282219789,0.20481927710843373
307,349,geometric@0.10,linear@0.50,0.1678832116788321,0.45985401459854014
307,349,geometric@0.50,linear@0.50,0.880134428678118,0.9230769230769231
307,349,geometric@0.90,linear@0.50,0.13353834684558755,0.36054421768707484
307,349,min,linear@0.50,0.47885714285714287,0.5873015873015873
307,349,geometric@0.10,linear@0.90,-0.3226966329551112,0.09289617486338798
307,349,geometric@0.50,linear@0.90,-0.12661258103688722,0.20481927710843373
307,349,geometric@0.90,linear@0.90,0.26743839567368544,0.3888888888888889
307,349,min,linear@0.90,-0.12445390301891934,0.14285714285714285
307,349,geometric@0.50,geometric@0.10,0.15046248715313465,0.42857142857142855
307,349,geometric@0.90,geometric@0.10,-0.21750235246672942,0.15606936416184972
307,349,min,geometric@0.10,0.06754966887417219,0.32450331125827814
307,349,geometric@0.90,geometric@0.50,0.10315907184791726,0.36054421768707484
307,349,min,geometric@0.50,0.5537784886045581,0.6260162601626016
307,349,min,geometric@0.90,0.05660377358490567,0.2578616352201258
308,350,linear@0.50,linear@0.10,0.03831379887717915,0.3986013986013986
308,350,linear@0.90,linear@0.10,-0.29904097646033123,0.07526881720430108
308,350,geometric@0.10,linear@0.10,0.8144137415982077,0.9230769230769231
308,350,geometric@0.50,linear@0.10,0.035752979414951244,0.3986013986013986
308,350,geometric@0.90,linear@0.10,-0.2982927812878075,0.15606936416184972
308,350,min,linear@0.10,0.003620309050772627,0.32450331125827814
308,350,linear@0.90,linear@0.50,-0.006517905068629707,0.2345679012345679
308,350,geometric@0.10,linear@0.50,0.11317550694236339,0.4084507042253521
308,350,geometric@0.50,linear@0.50,0.9055265123226288,0.9230769230769231
308,350,geometric@0.90,linear@0.50,0.16101331043366252,0.45985401459854014
308,350,min,linear@0.50,0.5132231404958677,0.6528925619834711
308,350,geometric@0.10,linear@0.90,-0.3126481236105063,0.07526881720430108
308,350,geometric@0.50,linear@0.90,-0.0804451505264728,0.21951219512195122
308,350,geometric@0.90,linear@0.90,0.37704355235051645,0.41843971631205673
308,350,min,linear@0.90,-0.11094433667813475,0.15606936416184972
308,350,geometric@0.50,geometric@0.10,0.1075816601738088,0.4084507042253521
308,350,geometric@0.90,geometric@0.10,-0.25796478021239416,0.15606936416184972
308,350,min,geometric@0.10,0.06791946308724832,0.3333333333333333
308,350,geometric@0.90,geometric@0.50,0.11654676258992805,0.42857142857142855
308,350,min,geometric@0.50,0.5769955091988991,0.6949152542372882
308,350,min,geometric@0.90,0.05378076062639821,0.3333333333333333
309,351,linear@0.50,linear@0.10,0.06002055498458376,0.42857142857142855
309,351,linear@0.90,linear@0.10,-0.25722679200940074,0.08108108108108109
309,351,geometric@0.10,linear@0.10,0.8228212039532795,0.8867924528301887
309,351,geometric@0.50,linear@0.10,0.040324214792299896,0.41843971631205673
309,351,geometric@0.90,linear@0.10,-0.2849255264509502,0.12994350282485875
309,351,min,linear@0.10,-0.03921568627450981,0.30718954248366015
309,351,linear@0.90,linear@0.50,0.061221240347106125,0.2578616352201258
309,351,geometric@0.10,linear@0.50,0.1275153790011469,0.43884892086330934
309,351,geometric@0.50,linear@0.50,0.8595088520845232,0.941747572815534
309,351,geometric@0.90,linear@0.50,0.16252122665068425,0.4084507042253521
309,351,min,linear@0.50,0.3777777777777778,0.5873015873015873
309,351,geometric@0.10,linear@0.90,-0.28486487573910635,0.08108108108108109
309,351,geometric@0.50,linear@0.90,-0.01184696585459617,0.25
309,351,geometric@0.90,linear@0.90,0.4249959310324972,0.42857142857142855
309,351,min,linear@0.90,-0.047172404996671496,0.1695906432748538
309,351,geometric@0.50,geometric@0.10,0.10256937307297019,0.42857142857142855
309,351,geometric@0.90,geometric@0.10,-0.2591165896250642,0.12994350282485875
309,351,min,geometric@0.10,0.01315673289183223,0.32450331125827814
309,351,geometric@0.90,geometric@0.50,0.13365507731704912,0.3986013986013986
309,351,min,geometric@0.50,0.46501399440223906,0.6260162601626016
309,351,min,geometric@0.90,0.0718954248366013,0.2987012987012987
310,352,linear@0.50,linear@0.10,0.025188453759882334,0.35135135135135137
310,352,linear@0.90,linear@0.10,-0.3340016708437761,0.05263157894736842
310,352,geometric@0.10,linear@0.10,0.7859284076882385,0.8691588785046729
310,352,geometric@0.50,linear@0.10,-0.01585918438480307,0.3157894736842105
310,352,geometric@0.90,linear@0.10,-0.3251948051948052,0.13636363636363635
310,352,min,linear@0.10,-0.03811057434245841,0.2345679012345679
310,352,linear@0.90,linear@0.50,-0.1455844155844156,0.13636363636363635
310,352,geometric@0.10,linear@0.50,0.10153256704980841,0.3793103448275862
310,352,geometric@0.50,linear@0.50,0.8663897542402216,0.8518518518518519
310,352,geometric@0.90,linear@0.50,0.08875379939209725,0.41843971631205673
310,352,min,linear@0.50,0.49777078415945447,0.6129032258064516
310,352,geometric@0.10,linear@0.90,-0.41993340339629526,0.05263157894736842
310,352,geometric@0.50,linear@0.90,-0.25948033760303,0.12359550561797752
310,352,geometric@0.90,linear@0.90,0.05605685766665427,0.26582278481012656
310,352,min,linear@0.90,-0.2775883976591895,0.0989010989010989
310,352,geometric@0.50,geometric@0.10,0.054598222383457275,0.3422818791946309
310,352,geometric@0.90,geometric@0.10,-0.2906783602418444,0.14942528735632185
310,352,min,geometric@0.10,0.01950481649550195,0.2578616352201258
310,352,geometric@0.90,geometric@0.50,0.07081650743622574,0.3986013986013986
310,352,min,geometric@0.50,0.5910044977511244,0.7241379310344828
310,352,min,geometric@0.90,0.009976419372392525,0.3422818791946309
311,353,linear@0.50,linear@0.10,0.09319748276895415,0.4084507042253521
311,353,linear@0.90,linear@0.10,-0.2982373678025852,0.08108108108108109
311,353,geometric@0.10,linear@0.10,0.7436078293070005,0.8691588785046729
311,353,geometric@0.50,linear@0.10,0.06973581973581973,0.3888888888888889
311,353,geometric@0.90,linear@0.10,-0.29550082101806235,0.14285714285714285
311,353,min,linear@0.10,-0.010663914688682491,0.30718954248366015
311,353,linear@0.90,linear@0.50,-0.07405764966740577,0.21212121212121213
311,353,geometric@0.10,linear@0.50,0.20779897820873733,0.43884892086330934
311,353,geometric@0.50,linear@0.50,0.9059584999048165,0.941747572815534
311,353,geometric@0.90,linear@0.50,0.12461873638344224,0.47058823529411764
311,353,min,linear@0.50,0.46107936507936514,0.5873015873015873
311,353,geometric@0.10,linear@0.90,-0.30298281296562096,0.0989010989010989
311,353,geometric@0.50,linear@0.90,-0.1547655279261413,0.20481927710843373
311,353,geometric@0.90,linear@0.90,0.2414628815084385,0.3698630136986301
311,353,min,linear@0.90,-0.13937844122408943,0.12994350282485875
311,353,geometric@0.50,geometric@0.10,0.1813576494427558,0.41843971631205673
311,353,geometric@0.90,geometric@0.10,-0.22875016999864,0.16279069767441862
311,353,min,geometric@0.10,0.08671140939597315,0.3333333333333333
311,353,geometric@0.90,geometric@0.50,0.10841562902533274,0.45985401459854014
311,353,min,geometric@0.50,0.5209916033586565,0.6260162601626016
311,353,min,geometric@0.90,0.08291390728476822,0.32450331125827814
312,354,linear@0.50,linear@0.10,0.024398745207389334,0.3157894736842105
312,354,linear@0.90,linear@0.10,-0.29330199764982373,0.08108108108108109
312,354,geometric@0.10,linear@0.10,0.7510139305237172,0.8691588785046729
312,354,geometric@0.50,linear@0.10,0.014447884416924668,0.30718954248366015
312,354,geometric@0.90,linear@0.10,-0.2835064935064935,0.13636363636363635
312,354,min,linear@0.10,0.0009216589861751151,0.2903225806451613
312,354,linear@0.90,linear@0.50,-0.07214143142286855,0.19047619047619047
312,354,geometric@0.10,linear@0.50,0.10520587701795754,0.3422818791946309
312,354,geometric@0.50,linear@0.50,0.9219493622691797,0.941747572815534
312,354,geometric@0.90,linear@0.50,0.1445015416238438,0.42857142857142855
312,354,min,linear@0.50,0.545727136431784,0.7241379310344828
312,354,geometric@0.10,linear@0.90,-0.32752972914057893,0.08108108108108109
312,354,geometric@0.50,linear@0.90,-0.16080900248471744,0.17647058823529413
312,354,geometric@0.90,linear@0.90,0.24142543643750194,0.3793103448275862
312,354,min,linear@0.90,-0.1794781581557761,0.11731843575418995
312,354,geometric@0.50,geometric@0.10,0.09190156599552571,0.3333333333333333
312,354,geometric@0.90,geometric@0.10,-0.24779220779220779,0.13636363636363635
312,354,min,geometric@0.10,0.07772743116068317,0.3157894736842105
312,354,geometric@0.90,geometric@0.50,0.11317550694236339,0.4084507042253521
312,354,min,geometric@0.50,0.5995575221238938,0.7699115044247787
312,354,min,geometric@0.90,0.051943584451324396,0.30718954248366015
313,355,linear@0.50,linear@0.10,0.1315552891818999,0.4084507042253521
313,355,linear@0.90,linear@0.10,-0.2645123384253819,0.08108108108108109
313,355,geometric@0.10,linear@0.10,0.7891024510668313,0.8691588785046729
313,355,geometric@0.50,linear@0.10,0.09099990010987913,0.4084507042253521
313,355,geometric@0.90,linear@0.10,-0.25214198286413714,0.16279069767441862
313,355,min,linear@0.10,0.032928361960620024,0.2903225806451613
313,355,linear@0.90,linear@0.50,-0.06301682349586542,0.19047619047619047
313,355,geometric@0.10,linear@0.50,0.21468042956938796,0.43884892086330934
313,355,geometric@0.50,linear@0.50,0.9002474776318296,0.941747572815534
313,355,geometric@0.90,linear@0.50,0.11691995947315095,0.41843971631205673
313,355,min,linear@0.50,0.5045895620246524,0.6129032258064516
313,355,geometric@0.10,linear@0.90,-0.3150854527391553,0.08108108108108109
313,355,geometric@0.50,linear@0.90,-0.14235499158613216,0.17647058823529413
313,355,geometric@0.90,linear@0.90,0.2351783308658502,0.35135135135135137
313,355,min,linear@0.90,-0.15106869613275312,0.12359550561797752
313,355,geometric@0.50,geometric@0.10,0.17274939172749393,0.4492753623188406
313,355,geometric@0.90,geometric@0.10,-0.2167870657034744,0.1695906432748538
313,355,min,geometric@0.10,0.09759498082955734,0.3157894736842105
313,355,geometric@0.90,geometric@0.50,0.11277454939426769,0.3986013986013986
313,355,min,geometric@0.50,0.5649740103958416,0.6260162601626016
313,355,min,geometric@0.90,0.07424189613105613,0.3157894736842105
314,356,linear@0.50,linear@0.10,0.10865227643751132,0.3422818791946309
314,356,linear@0.90,linear@0.10,-0.23092124382446957,0.07526881720430108
314,356,geometric@0.10,linear@0.10,0.7954309449636552,0.8518518518518519
314,356,geometric@0.50,linear@0.10,0.08416470161436604,0.3422818791946309
314,356,geometric@0.90,linear@0.10,-0.2392775041050903,0.14285714285714285
314,356,min,linear@0.10,0.015259565984203667,0.2345679012345679
314,356,linear@0.90,linear@0.50,-0.022869922804992428,0.19760479041916168
314,356,geometric@0.10,linear@0.50,0.18949155928478673,0.4084507042253521
314,356,geometric@0.50,linear@0.50,0.8592840768823841,0.8691588785046729
314,356,geometric@0.90,linear@0.50,0.1291243967300305,0.3986013986013986
314,356,min,linear@0.50,0.4585396825396825,0.5873015873015873
314,356,geometric@0.10,linear@0.90,-0.27506875311325546,0.0989010989010989
314,356,geometric@0.50,linear@0.90,-0.10636821373809122,0.1695906432748538
314,356,geometric@0.90,linear@0.90,0.28155810575296647,0.36054421768707484
314,356,min,linear@0.90,-0.11594988568893577,0.12994350282485875
314,356,geometric@0.50,geometric@0.10,0.16431924882629106,0.4084507042253521
314,356,geometric@0.90,geometric@0.10,-0.20174697097774022,0.1834319526627219
314,356,min,geometric@0.10,0.08722245496439043,0.2903225806451613
314,356,geometric@0.90,geometric@0.50,0.09192866335723479,0.35135135135135137
314,356,min,geometric@0.50,0.5468319559228649,0.6528925619834711
314,356,min,geometric@0.90,0.04284532671629446,0.28205128205128205
315,357,linear@0.50,linear@0.10,0.005458612975391499,0.3333333333333333
315,357,linear@0.90,linear@0.10,-0.3390142021720969,0.05263157894736842
315,357,geometric@0.10,linear@0.10,0.7808065720687081,0.9230769230769231
315,357,geometric@0.50,linear@0.10,-0.01923937360178971,0.3333333333333333
315,357,geometric@0.90,linear@0.10,-0.3227041616973197,0.11731843575418995
315,357,min,linear@0.10,-0.06713836477987421,0.25
315,357,linear@0.90,linear@0.50,-0.07002843034565315,0.21951219512195122
315,357,geometric@0.10,linear@0.50,0.08788380216951647,0.35135135135135137
315,357,geometric@0.50,linear@0.50,0.877403388539882,0.941747572815534
315,357,geometric@0.90,linear@0.50,0.12401215805471125,0.41843971631205673
315,357,min,linear@0.50,0.4378248700519792,0.6260162601626016
315,357,geometric@0.10,linear@0.90,-0.3737664009479787,0.06382978723404255
315,357,geometric@0.50,linear@0.90,-0.17416384847631852,0.20481927710843373
315,357,geometric@0.90,linear@0.90,0.1898579410908066,0.3333333333333333
315,357,min,linear@0.90,-0.17479862077010005,0.14285714285714285
315,357,geometric@0.50,geometric@0.10,0.06324692038977754,0.35135135135135137
315,357,geometric@0.90,geometric@0.10,-0.270929635336415,0.12994350282485875
315,357,min,geometric@0.10,0.005079416270257197,0.26582278481012656
315,357,geometric@0.90,geometric@0.50,0.09997045208312813,0.3986013986013986
315,357,min,geometric@0.50,0.5146005509641872,0.6528925619834711
315,357,min,geometric@0.90,0.048128342245989296,0.2987012987012987
316,358,linear@0.50,linear@0.10,0.14398915650088623,0.43884892086330934
316,358,linear@0.90,linear@0.10,-0.27685076380728557,0.08108108108108109
316,358,geometric@0.10,linear@0.10,0.8256161314413742,0.9230769230769231
316,358,geometric@0.50,linear@0.10,0.09898552152073278,0.3986013986013986
316,358,geometric@0.90,linear@0.10,-0.2643962848297214,0.1695906432748538
316,358,min,linear@0.10,0.05629139072847683,0.3157894736842105
316,358,linear@0.90,linear@0.50,-0.06016538351867694,0.19047619047619047
316,358,geometric@0.10,linear@0.50,0.22155431515671958,0.45985401459854014
316,358,geometric@0.50,linear@0.50,0.897196261682243,0.8518518518518519
316,358,geometric@0.90,linear@0.50,0.13614725483973342,0.4492753623188406
316,358,min,linear@0.50,0.5591096894575502,0.6260162601626016
316,358,geometric@0.10,linear@0.90,-0.31865262745524703,0.08695652173913043
316,358,geometric@0.50,linear@0.90,-0.14988589750570427,0.16279069767441862
316,358,geometric@0.90,linear@0.90,0.21904491383296834,0.3333333333333333
316,358,min,linear@0.90,-0.15392631098421192,0.13636363636363635
316,358,geometric@0.50,geometric@0.10,0.1775950668036999,0.42857142857142855
316,358,geometric@0.90,geometric@0.10,-0.22311172989906025,0.17647058823529413
316,358,min,geometric@0.10,0.1289678940685652,0.3422818791946309
316,358,geometric@0.90,geometric@0.50,0.11077814404155428,0.4084507042253521
316,358,min,geometric@0.50,0.6247139588100687,0.7391304347826086
316,358,min,geometric@0.90,0.07335907335907337,0.35135135135135137
317,359,linear@0.50,linear@0.10,0.025213132595682926,0.3422818791946309
317,359,linear@0.90,linear@0.10,-0.28146742567994937,0.06951871657754011
317,359,geometric@0.10,linear@0.10,0.7587400484596746,0.8518518518518519
317,359,geometric@0.50,linear@0.10,0.00891832229580574,0.32450331125827814
317,359,geometric@0.90,linear@0.10,-0.316131382429725,0.0989010989010989
317,359,min,linear@0.10,-0.03272032481490327,0.2578616352201258
317,359,linear@0.90,linear@0.50,-0.08595131238950089,0.16279069767441862
317,359,geometric@0.10,linear@0.50,0.11100167438195606,0.3986013986013986
317,359,geometric@0.50,linear@0.50,0.862957430918596,0.9230769230769231
317,359,geometric@0.90,linear@0.50,0.05550516959912933,0.3422818791946309
317,359,min,linear@0.50,0.48011204481792713,0.6666666666666666
317,359,geometric@0.10,linear@0.90,-0.32878734837482854,0.07526881720430108
317,359,geometric@0.50,linear@0.90,-0.17719806436881114,0.15606936416184972
317,359,geometric@0.90,linear@0.90,0.2243039236972507,0.35135135135135137
317,359,min,linear@0.90,-0.18825288791491793,0.11731843575418995
317,359,geometric@0.50,geometric@0.10,0.09233716475095786,0.3793103448275862
317,359,geometric@0.90,geometric@0.10,-0.28814400993171946,0.1111111111111111
317,359,min,geometric@0.10,0.04368765049879602,0.30718954248366015
317,359,geometric@0.90,geometric@0.50,0.023534675615212528,0.3333333333333333
317,359,min,geometric@0.50,0.5754122938530734,0.7241379310344828
317,359,min,geometric@0.90,-0.022978311698782554,0.26582278481012656
318,360,linear@0.50,linear@0.10,0.0977078477078477,0.3888888888888889
318,360,linear@0.90,linear@0.10,-0.2882525444195273,0.06951871657754011
318,360,geometric@0.10,linear@0.10,0.8177897574123991,0.8867924528301887
318,360,geometric@0.50,linear@0.10,0.06779331779331779,0.3888888888888889
318,360,geometric@0.90,linear@0.10,-0.24045977011494252,0.14285714285714285
318,360,min,linear@0.10,0.029583763329893365,0.30718954248366015
318,360,linear@0.90,linear@0.50,-0.027173913043478257,0.2422360248447205
318,360,geometric@0.10,linear@0.50,0.16252122665068425,0.4084507042253521
318,360,geometric@0.50,linear@0.50,0.8961911874533234,0.9230769230769231
318,360,geometric@0.90,linear@0.50,0.188922284242164,0.45985401459854014
318,360,min,linear@0.50,0.5082644628099172,0.6528925619834711
318,360,geometric@0.10,linear@0.90,-0.340166092906972,0.07526881720430108
318,360,geometric@0.50,linear@0.90,-0.12017739293113633,0.21951219512195122
318,360,geometric@0.90,linear@0.90,0.20841679427782614,0.3422818791946309
318,360,min,linear@0.90,-0.15508160030900212,0.1695906432748538
318,360,geometric@0.50,geometric@0.10,0.1309559484566976,0.4084507042253521
318,360,geometric@0.90,geometric@0.10,-0.21068367550328881,0.14942528735632185
318,360,min,geometric@0.10,0.09011185682326621,0.3333333333333333
318,360,geometric@0.90,geometric@0.50,0.1698074974670719,0.41843971631205673
318,360,min,geometric@0.50,0.5809018567639257,0.7094017094017094
318,360,min,geometric@0.90,0.09542195256480972,0.35135135135135137
319,361,linear@0.50,linear@0.10,0.07575757575757576,0.3888888888888889
319,361,linear@0.90,linear@0.10,-0.2962794402093526,0.06382978723404255
319,361,geometric@0.10,linear@0.10,0.8188946975354743,0.9230769230769231
319,361,geometric@0.50,linear@0.10,0.06532567049808428,0.3793103448275862
319,361,geometric@0.90,linear@0.10,-0.2679123538109961,0.15606936416184972
319,361,min,linear@0.10,0.02488479262672811,0.2903225806451613
319,361,linear@0.90,linear@0.50,-0.03264409603877907,0.22699386503067484
319,361,geometric@0.10,linear@0.50,0.1525179856115108,0.42857142857142855
319,361,geometric@0.50,linear@0.50,0.8808812546676625,0.9230769230769231
319,361,geometric@0.90,linear@0.50,0.1753812636165577,0.47058823529411764
319,361,min,linear@0.50,0.49898387752337076,0.639344262295082
319,361,geometric@0.10,linear@0.90,-0.3251464659787383,0.08108108108108109
319,361,geometric@0.50,linear@0.90,-0.12495808176501318,0.21951219512195122
319,361,geometric@0.90,linear@0.90,0.2664191944706607,0.3888888888888889
319,361,min,linear@0.90,-0.16044750563537294,0.15606936416184972
319,361,geometric@0.50,geometric@0.10,0.14184397163120566,0.41843971631205673
319,361,geometric@0.90,geometric@0.10,-0.22742777584406546,0.17647058823529413
319,361,min,geometric@0.10,0.09739514348785872,0.32450331125827814
319,361,geometric@0.90,geometric@0.50,0.1442679261485616,0.45985401459854014
319,361,min,geometric@0.50,0.5742296918767507,0.6666666666666666
319,361,min,geometric@0.90,0.06905227844562482,0.36054421768707484
320,362,linear@0.50,linear@0.10,0.0896551724137931,0.3793103448275862
320,362,linear@0.90,linear@0.10,-0.25552387740555954,0.08695652173913043
320,362,geometric@0.10,linear@0.10,0.7354896675651393,0.8867924528301887
320,362,geometric@0.50,linear@0.10,0.06584436785779067,0.3422818791946309
320,362,geometric@0.90,linear@0.10,-0.24282430213464692,0.14285714285714285
320,362,min,linear@0.10,0.0022622538751571005,0.2903225806451613
320,362,linear@0.90,linear@0.50,-0.04505275163957799,0.19047619047619047
320,362,geometric@0.10,linear@0.50,0.20147837378883227,0.4084507042253521
320,362,geometric@0.50,linear@0.50,0.9029304029304028,0.9047619047619048
320,362,geometric@0.90,linear@0.50,0.13947163947163946,0.3888888888888889
320,362,min,linear@0.50,0.5316804407713498,0.6528925619834711
320,362,geometric@0.10,linear@0.90,-0.2897426054179174,0.09289617486338798
320,362,geometric@0.50,linear@0.90,-0.16261305887406366,0.1834319526627219
320,362,geometric@0.90,linear@0.90,0.17012431608958087,0.30718954248366015
320,362,min,linear@0.90,-0.14222962420239812,0.14285714285714285
320,362,geometric@0.50,geometric@0.10,0.17279168634860653,0.3698630136986301
320,362,geometric@0.90,geometric@0.10,-0.18184838216729785,0.14942528735632185
320,362,min,geometric@0.10,0.09253525971792227,0.30718954248366015
320,362,geometric@0.90,geometric@0.50,0.10114942528735632,0.3793103448275862
320,362,min,geometric@0.50,0.5976011994002998,0.7241379310344828
320,362,min,geometric@0.90,0.07885578473813767,0.2987012987012987
321,363,linear@0.50,linear@0.10,0.03345447768148355,0.36054421768707484
321,363,linear@0.90,linear@0.10,-0.32534053810649555,0.0582010582010582
321,363,geometric@0.10,linear@0.10,0.7827543643096456,0.8691588785046729
321,363,geometric@0.50,linear@0.10,0.018018018018018018,0.35135135135135137
321,363,geometric@0.90,linear@0.10,-0.29267158328350273,0.14942528735632185
321,363,min,linear@0.10,-0.013392128041809571,0.27388535031847133
321,363,linear@0.90,linear@0.50,-0.0534191231482867,0.21951219512195122
321,363,geometric@0.10,linear@0.50,0.11217660573369294,0.4084507042253521
321,363,geometric@0.50,linear@0.50,0.8735960403578908,0.941747572815534
321,363,geometric@0.90,linear@0.50,0.15793927853591452,0.4492753623188406
321,363,min,linear@0.50,0.4518751639129294,0.6129032258064516
321,363,geometric@0.10,linear@0.90,-0.3872142058108695,0.06382978723404255
321,363,geometric@0.50,linear@0.90,-0.15942065324715854,0.21212121212121213
321,363,geometric@0.90,linear@0.90,0.1944099796384383,0.3333333333333333
321,363,min,linear@0.90,-0.1821343262580786,0.13636363636363635
321,363,geometric@0.50,geometric@0.10,0.09642470205850487,0.3986013986013986
321,363,geometric@0.90,geometric@0.10,-0.25627794977640184,0.1695906432748538
321,363,min,geometric@0.10,0.06472406181015453,0.32450331125827814
321,363,geometric@0.90,geometric@0.50,0.13481388802001876,0.43884892086330934
321,363,min,geometric@0.50,0.5360881542699724,0.6528925619834711
321,363,min,geometric@0.90,0.06827740492170022,0.3333333333333333
322,364,linear@0.50,linear@0.10,-0.025213132595682926,0.3422818791946309
322,364,linear@0.90,linear@0.10,-0.31334622823984526,0.06382978723404255
322,364,geometric@0.10,linear@0.10,0.8181491464510333,0.8867924528301887
322,364,geometric@0.50,linear@0.10,-0.06965944272445822,0.30718954248366015
322,364,geometric@0.90,linear@0.10,-0.3240652574112868,0.12359550561797752
322,364,min,linear@0.10,-0.10064208931534523,0.19760479041916168
322,364,linear@0.90,linear@0.50,-0.0662723484339293,0.15606936416184972
322,364,geometric@0.10,linear@0.50,0.032567049808429116,0.3793103448275862
322,364,geometric@0.50,linear@0.50,0.8695208970438328,0.8348623853211009
322,364,geometric@0.90,linear@0.50,0.13383838383838384,0.3888888888888889
322,364,min,linear@0.50,0.4699354838709677,0.6
322,364,geometric@0.10,linear@0.90,-0.3836007029333638,0.06951871657754011
322,364,geometric@0.50,linear@0.90,-0.17003391229724923,0.14285714285714285
322,364,geometric@0.90,linear@0.90,0.17828236081541649,0.32450331125827814
322,364,min,linear@0.90,-0.20012817459021545,0.11731843575418995
322,364,geometric@0.50,geometric@0.10,-0.017594775984037726,0.3422818791946309
322,364,geometric@0.90,geometric@0.10,-0.306753980482794,0.12994350282485875
322,364,min,geometric@0.10,-0.05037957211870256,0.2345679012345679
322,364,geometric@0.90,geometric@0.50,0.1053639846743295,0.3793103448275862
322,364,min,geometric@0.50,0.5385272753169066,0.680672268907563
322,364,min,geometric@0.90,0.04017897091722595,0.3333333333333333
323,365,linear@0.50,linear@0.10,0.08455361360415682,0.3698630136986301
323,365,linear@0.90,linear@0.10,-0.250566695727986,0.07526881720430108
323,365,geometric@0.10,linear@0.10,0.7972138952565685,0.8691588785046729
323,365,geometric@0.50,linear@0.10,0.056378715869909606,0.36054421768707484
323,365,geometric@0.90,linear@0.10,-0.21723349912622666,0.15606936416184972
323,365,min,linear@0.10,0.039205955334987594,0.28205128205128205
323,365,linear@0.90,linear@0.50,0.017496023630992952,0.22699386503067484
323,365,geometric@0.10,linear@0.50,0.16608427543679344,0.42857142857142855
323,365,geometric@0.50,linear@0.50,0.9133681852128456,0.9230769230769231
323,365,geometric@0.90,linear@0.50,0.2119695547909498,0.43884892086330934
323,365,min,linear@0.50,0.5275482093663911,0.6528925619834711
323,365,geometric@0.10,linear@0.90,-0.2794170174380856,0.08695652173913043
323,365,geometric@0.50,linear@0.90,-0.05316076111950143,0.20481927710843373
323,365,geometric@0.90,linear@0.90,0.3493410829969595,0.42857142857142855
323,365,min,linear@0.90,-0.0839931736901774,0.16279069767441862
323,365,geometric@0.50,geometric@0.10,0.13860182370820667,0.41843971631205673
323,365,geometric@0.90,geometric@0.10,-0.17737390814313891,0.1834319526627219
323,365,min,geometric@0.10,0.11838926174496645,0.3333333333333333
323,365,geometric@0.90,geometric@0.50,0.18509639396663669,0.4084507042253521
323,365,min,geometric@0.50,0.5838491010904803,0.7094017094017094
323,365,min,geometric@0.90,0.11552572706935121,0.3333333333333333
324,366,linear@0.50,linear@0.10,0.09329501915708813,0.3793103448275862
324,366,linear@0.90,linear@0.10,-0.24915889037008826,0.12359550561797752
324,366,geometric@0.10,linear@0.10,0.7649705780546902,0.8518518518518519
324,366,geometric@0.50,linear@0.10,0.06346100083869165,0.36054421768707484
324,366,geometric@0.90,linear@0.10,-0.2171998624011008,0.1695906432748538
324,366,min,linear@0.10,0.02149982800137599,0.30718954248366015
324,366,linear@0.90,linear@0.50,-0.0020440251572327044,0.25
324,366,geometric@0.10,linear@0.50,0.19174225836721925,0.43884892086330934
324,366,geometric@0.50,linear@0.50,0.9097933513027854,0.8867924528301887
324,366,geometric@0.90,linear@0.50,0.20575478684015658,0.4492753623188406
324,366,min,linear@0.50,0.5217630853994489,0.6528925619834711
324,366,geometric@0.10,linear@0.90,-0.26461683463819324,0.13636363636363635
324,366,geometric@0.50,linear@0.90,-0.05833831610014849,0.2345679012345679
324,366,geometric@0.90,linear@0.90,0.32622782382557636,0.43884892086330934
324,366,min,linear@0.90,-0.08009084970947898,0.17647058823529413
324,366,geometric@0.50,geometric@0.10,0.1590678824721378,0.41843971631205673
324,366,geometric@0.90,geometric@0.10,-0.17365269461077845,0.19047619047619047
324,366,min,geometric@0.10,0.10930947721554375,0.36054421768707484
324,366,geometric@0.90,geometric@0.50,0.17630606333033663,0.4084507042253521
324,366,min,geometric@0.50,0.5754122938530734,0.7241379310344828
324,366,min,geometric@0.90,0.12247240618101544,0.32450331125827814
325,367,linear@0.50,linear@0.10,-0.013512254216755195,0.36054421768707484
325,367,linear@0.90,linear@0.10,-0.3447491182159517,0.06382978723404255
325,367,geometric@0.10,linear@0.10,0.778616352201258,0.8867924528301887
325,367,geometric@0.50,linear@0.10,-0.03629139072847682,0.32450331125827814
325,367,geometric@0.90,linear@0.10,-0.30142768466790815,0.1111111111111111
325,367,min,linear@0.10,-0.09699266306538741,0.26582278481012656
325,367,linear@0.90,linear@0.50,-0.021256269405302126,0.2578616352201258
325,367,geometric@0.10,linear@0.50,0.07222055738687443,0.4084507042253521
325,367,geometric@0.50,linear@0.50,0.8706199460916444,0.8867924528301887
